Index of Urantia Book Fellowship Herald articles	--------------------------------------------------------	is-title	Fellowship Herald
Volume 1, Number 1, 1998 (Fall)	/image/article/Herald_covers/Herald1998Fall.jpg	is-issue	--------------------------------------------------------
On the Brink of the Most Amazing and Enthralling Epoch	/en/article/Carolyn_Kendall/On_the_Brink_of_The_Most_Amazing	Carolyn Kendall	Future, The Urantia Book, The Urantia Book—History, The Publication Mandate, History of Urantia Movement, Study Groups
Let Your Soul Decide	/en/article/Richard_S_Omura/Let_our_Soul_Decide	Richard S. Omura	Spiritual Growth
The Urantia Papers From a Jewish Perspective	/en/article/Martin_Greenhut/The_Urantia_Papers_From_a_Jewish_Perspective	Martin Greenhut	Judaism, The Urantia Book
The Concepts of Trust and Hope in The Urantia Book	/en/article/Marilyn_Kulieke/Trust_and_Hope_in_The_Urantia_Book	Marilyn Kulieke	Jesus teachings, The Urantia Book
48 Chromosomes - Are We Asking the Right Questions?	/en/article/Ken_Glasziou/48_Chromosomes_Are_We_Asking_the_Right_Questions	Ken Glasziou	Genetics, Science
Volume 1, Number 2, 1999 (Spring)	/image/article/Herald_covers/Herald1999Spring.jpg	is-issue	--------------------------------------------------------
The Challenge of the 21st Century	/en/article/Meredith_Sprunger/The_Challenge_of_the_Twenty_first_Century_2	Meredith Sprunger	History, History of Urantia Movement, Future
On Facing Millennial Change	/en/article/Byron_Belitsos/On_facing_millenial_change	Byron Belitsos	Future
Magisterial Missions	/en/article/Behzad_Sarmast/Magisterial_missions	Behzad Sarmast	History, Future
Springtime: A Study of the Future	/en/article/Henry_Begemann/Springtime_a_study_of_the_future	Henry Begemann	Future
Whither Goest Thou, Woman?	/en/article/Jeanne_Melchior/Whither_Goest_Thou_Woman	Jeanne Melchior	Gender, Family
The Seven Psychic Circles	/en/article/Linda_Buselli/The_seven_psychic_circles	Linda Buselli	Spiritual Growth, Hinduism, Judaism
On Removing The Barrier To A Civilized Discussion Of Eugenics	/en/article/Stephen/On_removing_the_barrier_to_discussion_of_eugenics	Stephen	Eugenics
Volume 2, Number 1, 1999 (Winter)	/image/article/Herald_covers/Herald1999Winter.jpg	is-issue	--------------------------------------------------------
The Family: Birthplace of Cosmic Citizens	/en/article/Paul_Snider/The_Family_Birthplace_of_Cosmic_Citizens	Paul Snider	Family, Spiritual Growth
Two Cosmologies — Astronomy and The Urantia Book	/en/article/Irwin_Ginsburgh/Two_Cosmologies_Astronomy_and_The_Urantia_Book	Irwin Ginsburgh	The Urantia Book, Astronomy, Cosmology, Science
Reflections on cosmic citizenship	/en/article/Stephen_Dreier/Reflections_on_cosmic_citizenship	Stephen Dreier	Cosmic consciousness
The Dual Nature of Supremacy	/en/article/Linda_Buselli/The_Dual_Nature_of_Supremacy	Linda Buselli	The Supreme, Theology
Volume 2, Number 2, 2000 (Summer)	/image/article/Herald_covers/Herald2000.jpg	is-issue	--------------------------------------------------------
Thinking About Tomorrow	/en/article/Carolyn_Kendall/Thinking_about_tomorrow	Carolyn Kendall	Future, Revelation, Purpose
Restated in Modern Phraseology	/en/article/David_Elders/Restated_in_modern_phraseology	David Elders	Revelation, Source authors, The Urantia Book—Authorship
Scientific Predictions of The Urantia Book - Part II	/en/article/Irwin_Ginsburgh/Scientific_Predictions_of_The_Urantia_Book_2	Irwin Ginsburgh	Science, Geology, Cosmology, Genetics, Physics, Anthropology, Biology
“I Will Tell Them A Story”	/en/article/Stephen_Zendt/I_Will_Tell_Them_A_Story	Stephen Zendt	Jesus teachings
The Science of Parenting	/en/article/Sara_Blackstock/The_Science_of_Parenting	Sara Blackstock	Family, Pedagogy, Biology
The Ethics of Genetic Control and Social Engineering	/en/article/Charles_Laurence_Olivea/The_Ethics_of_Genetic_Control_and_Social_Engineering	Charles Laurence Olivea	Ethics, Eugenics, Sociology
The Intellectual Role of The Urantia Book	/en/article/Stephen/The_Intellectual_Role_of_The_Urantia_Book	Stephen	The Urantia Book, The Urantia Book—Purpose
Volume 3, Number 1, 2001 (Summer)	/image/article/Herald_covers/Herald2001.jpg	is-issue	--------------------------------------------------------
A Source Study Of “Instruction For Teachers And Believers”	/en/article/Matthew_Block/A_Source_Study_Of_Instruction_For_Teachers_And_Believers	Matthew Block	The Urantia Book, The Urantia Book—Authorship, Source authors
Show Us A Miracle!	/en/article/Behzad_Sarmast/Show_Us_a_Miracle	B. Sarmast	The Urantia Book, Mithology, Civilizations past, Epochal Revelations
Universal Religion: An Interfaith Presentation	/en/article/Les_Jamieson/Universal_Religion_An_Interfaith_Presentation	Les Jamieson	Religion
Ethical Eugenics: A Modest Proposal For The 21st Century	/en/article/Charles_Montgomery/Ethical_Eugenics_A_Modest_Proposal_For_The_21st_Century	Charles Montgomery	Eugenics, Ethics
Volume 4, Number 1, 2002 (Summer)	/image/article/Herald_covers/Herald2002.jpg	is-issue	--------------------------------------------------------
Reflections on the Urantia Movement in 2002	/en/article/Philip_Calabrese/Reflections_on_the_Urantia_Movement_in_2002	Philip Calabrese	Science, Cosmology, History of Urantia Movement, The Urantia Book—Authorship
Centering — A Method of Divine Embrace	/en/article/Marvin_Gawryn/Centering_A_Method_of_Divine_Embrace	Marvin Gawryn	Spiritual Growth, Self Development
Eugenics and The Urantia Book: Another Perspective	/en/article/Paul_Premsagar/Eugenics_and_The_Urantia_Book_Another_Perspective	Paul Premsagar	Eugenics
Revelatory Mouthpiecing	/en/article/Finlan/Revelatory_Mouthpiecing	Finlan	The Urantia Book—Authorship, Source authors, Revelation
Faith Wiring in the Brain	/en/article/Sara_Blackstock/Faith_Wiring_in_the_Brain	Sara Blackstock	Faith, Medicine
In Search of the Error So Great	/en/article/Nancy_Johnson/In_Search_of_the_Error_So_Great	Nancy Johnson	The Urantia Book, Truth
Jesus' Miracles and the Father's Will	/en/article/Ron_Besser/Jesus_Miracles_and_the_Fathers_Will	Ron Besser	Jesus life, Michael
A Demystification and Redefinition of Cult	/en/article/Alison_Gardner/A_Demystification_and_Redefinition_of_Cult	Alison Gardner	Religion
Religious Practice and the Urantia Revelation	/en/article/Byron_Belitsos/Religious_Practice_and_the_Urantia_Revelation	Byron Belitsos	Religion, Revelation
The Gift of Tolerance	/en/article/Karen_Larson/The_Gift_of_Tolerance	Karen Larson	The Urantia Book, Free Will, Jesus teachings
Volume 5, Number 1, 2003 (Summer)	/image/article/Herald_covers/Herald2003.jpg	is-issue	--------------------------------------------------------
A Jewish Girl Finds Jesus	/en/article/Bobbie_Dreier/A_Jewish_Girl_Finds_Jesus	Bobbie Dreier	The Urantia Book, Judaism
Ruminations on Revelation	/en/article/Steven_Hecht/Ruminations_on_Revelation	Steven Hecht	Revelation, The Urantia Book—Authorship
Safeguarding the Symbols of Urantian Faith	/en/article/David_Kantor/Safeguarding_the_Symbols_of_Urantian_Faith	David Kantor	Religion, Spirituality
When Belief Becomes Faith	/en/article/Al_Lockett/When_Belief_Becomes_Faith	Al Lockett	Faith, Religion
The Patterns of Revelation	/en/article/Linda_Buselli/The_Patterns_of_Revelation	Linda Buselli	Revelation, Epochal Revelations
The Difficulty of Being Objective	/en/article/Nancy_Johnson/The_Difficulty_of_Being_Objective	Nancy Johnson	God
Closed Circle or Open Book	/en/article/Stephen_Zendt/Closed_Circle_or_Open_Book	Stephen Zendt	The Urantia Book, Jesus teachings
The Origin of the Spiritual Fellowship	/en/article/Meredith_Sprunger/The_Origin_of_the_Spiritual_Fellowship	Meredith Sprunger	Religion, Fellowship
A Dialogue About The Kingdom	/en/article/Claudia_Ayers_and_Lee_Smith/A_Dialogue_About_The_Kingdom	Claudia Ayers and Lee Smith	Jesus teachings
Volume 5, Number 2, 2004 (Summer)	/image/article/Herald_covers/Herald2004.jpg	is-issue	--------------------------------------------------------
Illumination/Transformation	/en/article/Doreen_Heyne/Illumination_Transformation	Doreen Heyne	Inner Life
An Essay on Hope	/en/article/David_Kantor/An_Essay_on_Hope	David Kantor	Hope
The Rise of Spiritual Technology	/en/article/Richard_S_Omura/The_Rise_of_Spiritual_Technology	Richard Omura	The Urantia Book, Fruits of the Spirit, Meditation, Worship
Meditation in The Urantia Book, Jesus Style	/en/article/Peter_Holley/Meditation_in_The_Urantia_Book_Jesus_Style	Peter Holley	Meditation, Jesus teachings
The Art of Marriage	/en/article/Arlene_and_Buck_Weimer/The_Art_of_Marriage	Arlene and Buck Weimer	Family, Gender
A Trace of God	/en/article/Steven_Hecht/A_Trace_of_God	Steven Hecht	Philosophy, Materialism, Theology, The Supreme
The Golden Rule in Business	/en/article/Larry_Mullins/The_Golden_Rule_in_Business	Larry Mullins	Love and the Golden Rule
Volume 6, Number 1, 2005 (Summer)	/image/article/Herald_covers/Herald2005.jpg	is-issue	--------------------------------------------------------
The Next Fifty Years: Dissemination	/en/article/Charles_Laurence_Olivea/The_Next_Fifty_Years_Dissemination	Charles Olivea	History of Urantia Movement, Future
The New Revelation of the Living Jesus	/en/article/Peter_Holley/The_New_Revelation_of_the_Living_Jesus	Peter Holley	The Urantia Book, The Urantia Book—Purpose
On Removing The Barrier to a Civilized Discussion Of Eugenics	/en/article/Finnie/On_Removing_The_Barrier_to_a_Civilized_Discussion_Of_Eugenics	Finnie	Eugenics
Becoming a Universe-Conscious Citizen	/en/article/Nancy_Johnson/Becoming_a_Universe_Conscious_Citizen	Nancy Johnson	Cosmic consciousness
At Home In The Universe	/en/article/Stephen_Zendt/At_Home_In_The_Universe	Stephen Zendt	Cosmic consciousness
Pattern of Unity	/en/article/Jean_Pierre_Heudier/Pattern_of_Unity	Jean-Pierre Heudier	Cosmic consciousness
Journey to India: Legacy of the Sethite Teachers	/en/article/Dave_Holt/Journey_to_India_Legacy_of_the_Sethite_Teachers	Dave Holt	Religion, Mithology, Archaeology, Hinduism
Thoughts About the Future of our Urantia Community	/en/article/Sara_Blackstock/Thoughts_About_the_Future_of_our_Urantia_Communit	Sara Blackstock	History of Urantia Movement, Future
Legacy in Peril: Children and the Urantia Community	/en/article/Tom_Allen/Legacy_in_Peril_Children_and_the_Urantia_Community	Tom Allen	Children
Putting the Teachings into Action	/en/article/Steve_McIntosh/Putting_the_Teachings_into_Action	Steve McIntosh	The Urantia Book, Cosmic consciousness
Science Cannot Replace Religion	/en/article/Antti_Roine/Science_Cannot_Replace_Religion	Dr. Antti Roine	Science, Religion
Volume 7, Number 1, 2006 (Summer)	/image/article/Herald_covers/Herald2006.jpg	is-issue	--------------------------------------------------------
Guardian Angels	/en/article/Charles_Laurence_Olivea/Guardian_Angels	Charles Olivea	Angels and midwayers, Mithology
Youth and The Urantia Book	/en/article/Gina_Buselli/Youth_and_The_Urantia_Book	Gina Buselli	The Urantia Book, Future
Prophecy and The Urantia Book	/en/article/Preston_Thomas/Prophecy_and_The_Urantia_Book	Preston Thomas	Prophecy, Secularism
Serving: A Cookbook for the Soul	/en/article/Bill_and_Share_Beasley/Serving_A_Cookbook_for_the_Soul	Bill and Share Beasley	Service, Service Opportunities
What is Personality?	/en/article/Berkeley_Elliott/What_is_Personality	Berkeley Elliott	Personality
The Coming Scientific Validation of The Urantia Book	/en/article/Philip_Calabrese/The_Coming_Scientific_Validation_of_The_Urantia_Book	Dr. Philip Calabrese	Science, The Urantia Book, The Urantia Book—Errors, Revelation, Geology, Biology, Astronomy, Cosmology, Physics
Volume 8, Number 1, 2007 (Summer)	/image/article/Herald_covers/Herald2007.jpg	is-issue	--------------------------------------------------------
Amazing Human Aspects of Epochal Revelation	/en/article/Paula_Thompson/Amazing_Human_Aspects_of_Epochal_Revelation	Paula Thompson	Revelation, Epochal Revelations
Archangels: Agents of Epochal Change	/en/article/Carolyn_Kendall/Archangels_Agents_of_Epochal_Change	Carolyn Kendall	Angels and midwayers
IC 08 —The Thrill of Loving Service	/en/article/Phil_Taylor/IC_08_The_Thrill_of_Loving_Service	Phil Taylor	Service, Service Opportunities
Year 2006 Update on The Coming Scientific Validation of The Urantia Book	/en/article/Philip_Calabrese/Update_The_Coming_Scientific_Validation	Dr. Philip Calabrese	Science, The Urantia Book, The Urantia Book—Errors, Geology, Astronomy, Cosmology, Physics
Participatory Evolution	/en/article/Jacob_Dix/Participatory_Evolution	Jacob Dix	History, Future, Celestial beings
Personality and Man	/en/article/George_Park/Personality_and_Man	George Park	Personality
The Golden Rule	/en/article/Robert_Burns/The_Golden_Rule	Robert Burns	Love and the Golden Rule
Science Fiction for Agondonters	/en/article/Cece_Forrester/Science_Fiction_for_Agondonters	Cece Forrester	The Urantia Book
Loving Service	/en/article/Phil_Taylor/Loving_Service	Phil Taylor	Service
The Kingdom and the Supreme	/en/article/David_Kantor/The_Kingdom_and_the_Supreme	David Kantor	The Supreme
Volume 9, Number 1, 2008 (Summer)	/image/article/Herald_covers/Herald2008.jpg	is-issue	--------------------------------------------------------
Celestial Ministry: Seen and Unseen	/en/article/Michelle_Klimesh/Celestial_Ministry_Seen_and_Unseen	Michelle Klimesh	
The Supreme and Outreach	/en/article/Arlene_and_Buck_Weimer/The_Supreme_and_Outreach	Arlene and Buck Weimer	
Guess Who's Coming Next?	/en/article/Carolyn_Kendall/Guess_Whos_Coming_Next	Carolyn Kendall	
A Missionary Experience in Turkey	/en/article/Bill_Rocap/A_Missionary_Experience_in_Turkey	Bill Rocap	
You Be The Book	/en/article/Michael_Painter/You_Be_The_Book	Michael Painter	
The Start of a Worthy New Tradition	/en/article/The_Start_of_a_Worthy_New_Tradition)	---	 
The Significance of the Sevenfold Bestowal Career	/en/article/David_Glass/The_Significance_of_the_Sevenfold_Bestowal_Career	David Glass	
The Urantia Book Is Not What It Used To Be	/en/article/Halbert_Katzen/The_Urantia_Book_Is_Not_What_It_Used_To_Be	Halbert Katzen	
Law is Life Itself	/en/article/Linda_Buselli/Law_is_Life_Itself	Linda Buselli	
Moral Cosmic Citizenship	/en/article/Doreen_Heyne/Moral_Cosmic_Citizenship	Doreen Heyne	
The Roots of Morality	/en/article/Henry_Begemann/The_Roots_of_Morality	Henry Begemann	
Casting Pearls Before Personality	/en/article/David_Elders/Casting_Pearls_Before_Personality	David Elders	
Volume 10, Number 1, 2009 (Summer)	/image/article/Herald_covers/Herald2009.jpg	is-issue	--------------------------------------------------------
