Index of Urantia Foundation's “NEWSFLASH!” articles	https://www.urantia.org/urantia-foundation/newsletter-pdf-archives	is-title	NewsFlash
1998	---	is-volume	---
Issue 1 — April 1998	/image/article/UF_NewsFlash/covers/1998_04.jpg	is-issue	--------------------------------------------------------
NEWSFLASH! — Issue 1 — April 1998	/en/article/UF_NewsFlash/1998_04	---	Urantia Movement Event, Fellowship, Urantia Foundation
Issue 2 — May 1998	/image/article/UF_NewsFlash/covers/1998_05.jpg	is-issue	--------------------------------------------------------
NEWSFLASH! — Issue 2 — May 1998	/en/article/UF_NewsFlash/1998_05	---	Urantia Movement Event, Urantia Foundation
Issue 3 — June 1998	/image/article/UF_NewsFlash/covers/1998_06.jpg	is-issue	--------------------------------------------------------
NEWSFLASH! — Issue 3 — June 1998	/en/article/UF_NewsFlash/1998_06	---	The Urantia Book—Polish, Urantia Movement Event, Urantia Foundation—Copyright, Fellowship, Urantia Foundation
Issue 4 — July 1998	/image/article/UF_NewsFlash/covers/1998_07.jpg	is-issue	--------------------------------------------------------
NEWSFLASH! — Issue 4 — July 1998	/en/article/UF_NewsFlash/1998_07	---	Urantia Movement Event, Urantia Foundation
Issue 5 — August 1998	/image/article/UF_NewsFlash/covers/1998_08.jpg	is-issue	--------------------------------------------------------
NEWSFLASH! — Issue 5 — August 1998	/en/article/UF_NewsFlash/1998_08	---	Urantia Movement Event, Urantia Foundation
Issue 6 — October 1998	/image/article/UF_NewsFlash/covers/1998_10.jpg	is-issue	--------------------------------------------------------
NEWSFLASH! — Issue 6 — October 1998	/en/article/UF_NewsFlash/1998_10	---	Urantia Foundation
1999	---	is-volume	---
Issue 7 — January 1999	/image/article/UF_NewsFlash/covers/1999_01.jpg	is-issue	--------------------------------------------------------
NEWSFLASH! — Issue 7 — January 1999	/en/article/UF_NewsFlash/1999_01	---	Urantia Movement Event, UBIS, Urantia Foundation
Issue 8 — March 1999	/image/article/UF_NewsFlash/covers/1999_03.jpg	is-issue	--------------------------------------------------------
NEWSFLASH! — Issue 8 — March 1999	/en/article/UF_NewsFlash/1999_03	---	Urantia Foundation—Copyright, Fellowship, Urantia Foundation
Issue 9 — June 1999	/image/article/UF_NewsFlash/covers/1999_06.jpg	is-issue	--------------------------------------------------------
NEWSFLASH! — Issue 9 — June 1999	/en/article/UF_NewsFlash/1999_06	---	Africa, Urantia Movement Event, UBIS, Urantia Foundation
Issue 10 — August 1999	/image/article/UF_NewsFlash/covers/1999_08.jpg	is-issue	--------------------------------------------------------
NEWSFLASH! — Issue 10 — August 1999	/en/article/UF_NewsFlash/1999_08	---	Urantia Foundation—Copyright, Urantia Movement Event, Fellowship, Urantia Foundation
2000	---	is-volume	---
Issue 11 — February 2000	/image/article/UF_NewsFlash/covers/2000_02.jpg	is-issue	--------------------------------------------------------
NEWSFLASH! — Issue 11 — February 2000	/en/article/UF_NewsFlash/2000_02	---	The Urantia Book—Korean, Urantia Foundation—Copyright, Urantia Movement Event, Urantia Foundation
Issue 11 — July 2000	/image/article/UF_NewsFlash/covers/2000_07.jpg	is-issue	--------------------------------------------------------
NEWSFLASH! — Issue 11 — July 2000	/en/article/UF_NewsFlash/2000_07	---	Urantia Foundation—Copyright, Fellowship, Urantia Foundation
Issue 12 — September 2000	/image/article/UF_NewsFlash/covers/2000_09.jpg	is-issue	--------------------------------------------------------
NEWSFLASH! — Issue 12 — September 2000	/en/article/UF_NewsFlash/2000_09	---	Urantia Movement Event, Urantia Foundation—Copyright, Fellowship, Urantia Foundation
2001	---	is-volume	---
Issue 13 — January 2001	/image/article/UF_NewsFlash/covers/2001_01.jpg	is-issue	--------------------------------------------------------
NEWSFLASH! — Issue 13 — January 2001	/en/article/UF_NewsFlash/2001_01	---	The Urantia Book—Dutch, Urantia Foundation—Copyright, Fellowship, Urantia Foundation
Issue 15 — March 2001	/image/article/UF_NewsFlash/covers/2001_03.jpg	is-issue	--------------------------------------------------------
NEWSFLASH! — Issue 15 — March 2001	/en/article/UF_NewsFlash/2001_03	---	Urantia Movement Event, Urantia Foundation—Copyright, Fellowship, Urantia Foundation
Issue 16 — July 2001	/image/article/UF_NewsFlash/covers/2001_07.jpg	is-issue	--------------------------------------------------------
NEWSFLASH! — Issue 16 — July 2001	/en/article/UF_NewsFlash/2001_07	---	Urantia Foundation—Copyright, Urantia Foundation
Issue 17 — September 2001	/image/article/UF_NewsFlash/covers/2001_09.jpg	is-issue	--------------------------------------------------------
NEWSFLASH! — Issue 17 — September 2001	/en/article/UF_NewsFlash/2001_09	---	Urantia Foundation—Copyright, Fellowship, Urantia Movement, Urantia Foundation
Issue 18 — November 2001	/image/article/UF_NewsFlash/covers/2001_11.jpg	is-issue	--------------------------------------------------------
NEWSFLASH! — Issue 18 — November 2001	/en/article/UF_NewsFlash/2001_11	---	Fellowship, The Urantia Book—Spanish, The Urantia Book—History, Urantia Foundation
2002	---	is-volume	---
Issue 19 — January 2002	/image/article/UF_NewsFlash/covers/2002_01.jpg	is-issue	--------------------------------------------------------
NEWSFLASH! — Issue 19 — January 2002	/en/article/UF_NewsFlash/2002_01	---	The Urantia Book—Chinese, Urantia Foundation—Copyright, Urantia Movement Event, Urantia Foundation
Issue 20 — May 2002	/image/article/UF_NewsFlash/covers/2002_05.jpg	is-issue	--------------------------------------------------------
NEWSFLASH! — Issue 20 — May 2002	/en/article/UF_NewsFlash/2002_05	---	Urantia Foundation
Issue 21 — July 2002	/image/article/UF_NewsFlash/covers/2002_07.jpg	is-issue	--------------------------------------------------------
NEWSFLASH! — Issue 21 — July 2002	/en/article/UF_NewsFlash/2002_07	---	Urantia Movement Event, The Urantia Book—Swedish, Urantia Foundation
Issue 23 — November 2002	/image/article/UF_NewsFlash/covers/2002_11.jpg	is-issue	--------------------------------------------------------
NEWSFLASH! — Issue 23 — November 2002	/en/article/UF_NewsFlash/2002_11	---	Asia, Urantia Movement Event, UBIS, Urantia Foundation
2003	---	is-volume	---
Issue 24 — September 2003	/image/article/UF_NewsFlash/covers/2003_09.jpg	is-issue	--------------------------------------------------------
NEWSFLASH! — Issue 24 — September 2003	/en/article/UF_NewsFlash/2003_09	---	The Urantia Book—History, UBIS, Urantia Foundation
2004	---	is-volume	---
Issue 25 — March 2004	/image/article/UF_NewsFlash/covers/2004_03.jpg	is-issue	--------------------------------------------------------
NEWSFLASH! — Issue 25 - March 2004	/en/article/UF_NewsFlash/2004_03	---	Urantia Foundation