Index of UB Annotaded & UBTheNews studies	Índice de los estudios de UB Annotated y UBTheNews
General	Generalidades
Food For Thought	Alimento para el pensamiento
Revelatory Permissions and Limitations	Permisos y limitaciones de revelación
Reader Captivation Phrases	Frases para cautivar al lector
beyond human (comprehension, imagination, understanding, etc.)	más allá de lo humano (comprensión, imaginación, entendimiento, etc.)
Undiscovered	No descubierto
Is The Urantia Book “gay friendly?”	¿Es El Libro de Urantia «amigable con los gays»?
In the Name of the Father	En el nombre del Padre
Gender Studies	Estudios de género
Cocreat- Procreat- Coparental (Co)partnership with God	Cocrear- Procrear- Co-asociación co-parental con Dios
What does The Urantia Book say about its creation and the time period?	¿Qué dice El Libro de Urantia sobre su creación y la época?
History of The Urantia Book	Historia de El libro de Urantia
A New Heaven And A New Earth	Un nuevo cielo y una nueva tierra
Prophecy and “signs of the times”	Profecías y «señales de los tiempos»
Lord of the Sabbath	Señor del Sabbath
Eclipses Trump Prophecy Scholars	Eclipses, Trump, Profecías, Estudiosos
A Global Catastrophic Crisis Event	Un evento de crisis catastrófico de alcance mundial
Crises Emergencies Exigencies	Crisis Emergencias Exigencias
Mysticism and Entheogens	Misticismo y enteógenos
Most Highs rule	Los Altísimos gobiernan
Prophetic Prophec- Prophes-	Profético Prof- Profeta-
Prophesy and Prophesied	Profetizar y profetizado
Prophetic	Profético
Seers	Vidente(s)
herald, heralds, heralded	heraldo, heraldos, anunciadores
Saints, Prophets, Seers, and Heralds: Who is who, what is what, when, and why?	Santos, Profetas, Videntes y Heraldos: ¿Quién es quién, qué es qué, cuándo y por qué?
Angel of the Lord	Ángel del Señor
Etymology of Coined Terminology	Etimología de la terminología acuñada
Anthropology/Archaeology	Antropología/Arqueología
Adam and Eve	Adán y Eva
Creating Fire	La creación del fuego
Early Migration to Britain	Primera migración a Bretaña
Early Migration to China	Primera migración a China
Early Migration to the Americas	Primera migración a las Américas
Gobekli Tepe	Gobekli Tepe
Horsing Around	La domesticación del caballo
Ancient Chinese Pottery	Página de investigación sobre cerámica china antigua
Animal Domestication	La domesticación de los animales (información preliminar)
Dog Domestication	La domesticación del perro
Astronomy	Astronomía
Tycho’s Nova	Informe Nova de Tycho
Mercury’s Rotation	Informe de rotación de Mercurio
Galaxies	Informe sobre galaxias
Astronomy	Astronomía
Milky Way Galaxy	Galaxia Vía Láctea
Far-distant, Far Out, Far Beyond	Muy distante, muy lejos, mucho más allá
Biology and Genetics	Biología y Genética
Genetic Introductions, Mutations, and Evolution: a Urantia Book perspective	Introducciones genéticas, mutaciones y evolución: una perspectiva del Libro de Urantia
Chromosome Count	Recuento de cromosomas
Magnetic Sensitivity	Informe sobre la sensibilidad magnética
Geology/Geophysics	Geología/Geofísica
Garden of Eden	El Jardín del Edén
Sierra Mountains	Informe de las montañas de Sierra
Pangaea to Plate Tectonics	De Pangea a las placas tectónicas
Physics	Física
Inner Ionosphere	Informe sobre la lonosfera interior
Biblical Connections	Conexiones bíblicas
Melchizedek & the Dead Sea Scrolls	Melquisedec y los Rollos del Mar Muerto
Machiventa etymology	Etimología de Maquiventa
The Jewish Messiah Is Melchizedek!?!	¿¡El Mesías judío es Melquisedec!?
Eclipses Over Salem and Nineveh	Eclipses sobre Salem y Nínive
Moses Killed Rameses III	Moisés mató a Ramsés III
Jesus’ Nazareth Home report	Informe sobre el hogar de Jesús en Nazaret
Shroud of Turin	La síndone de Turín
Left is Right (Addition to Shroud of Turin Report)	La izquierda es derecha (Adición al informe sobre el Santo Sudario de Turín)