ref	subsections
0:3	Семь Абсолютов|Реальность|Концепция Я ЕСМЬ
0:4	Рай
0:12	Подтверждение
3:5	Неизбежности
3:6	Благословение
4:1	Провиденс
6:4	Всемогущество, вездесущность, всезнание
7:5	Дары Вечного Сына|Дарования Изначального Михаила
8:4	Творческие Дочери
9:8	Функциональная семья Третьего Источника и Центра
10:5	Конечное, абсонитное и абсолютное отношение
10:6	Справедливость, доказательства и суждение
10:8	Пределы смертной судьбы
11:6	Ненасыщенное пространство
11:7	Зоны среднего пространства
11:8	Сила, энергия, мощность
13:1	(1) Дивинингтон | (2) Сонарингтон | (3) Спиритингтон | (4) Вицегерингтон | (5) Солитарингтон | (6) Серафингтон | (7) Асендингтон
13:4	Исполнительные обители Главных Духов
14:1	День Рая-Хавоны | Темные гравитационные тела
14:4	Коренные жители Хавоны
14:5	Однообразие и приключения
15:7	Время сверхвселенной
15:9	Контуры локальной вселенной
16:6	Причинность, долг и поклонение
17:1	Сыновья, тринитизированные существами
19:4	Неподвижные Сыны Троицы
21:0	Оригинальный Майкл
22:1	Тринитизированные Сыны Достижения | Тринитизированные Сыны Избрания | Тринитизированные Сыны Совершенства
22:7	Сыновья, тринитизированные Восходящими Существами | Сыновья, тринитизированные Раем-Хавоной | Тринитизированные сыновья судьбы
23:3	Серафические и другие космические скорости
23:4	Тринитизированные сыны судьбы
24:6	Грандфанда, первый восходящий
26:1	Духи-служители Центральной Вселенной | Духи-служители Сверхвселенных | Духи-служители Локальных Вселенных
26:3	(1) Руководители Гармонии | (2) Главные регистраторы | (3) Радиовещатели | (4) Посыльные | (5) Координаторы разведки | (6) Транспортные работники | (7) Резервный корпус
26:4	Прибытие восходящих в Хавону
26:8	Неспособность найти Божество
26:10	Назначения побежденных кандидатов
26:11	Сыновья, тринитизированные существами
27:1	Природа покоя
28:4	(1) Голос Совместного Актёра | (2) Голос Семи Главных Духов | (3) Голос Сынов-Творцов | (4) Голос Ангельских Воинств | (5) Радиоприёмники | (6) Транспортные Личности | (7) Резервный Корпус
28:5	(1) Голос Мудрости | (2) Душа Философии | (3) Союз Душ | (4) Сердце Совета | (5) Радость Существования | (6) Удовлетворение Служения | (7) Различитель Духов
28:6	(1) Значение происхождения | (2) Память о милосердии | (3) Значение времени | (4) Торжественность доверия | (5) Святость служения | (6) и (7) Секрет величия и душа добра
29:2	(1) Руководители Верховных Центров | (2) Центры Хавоны | (3) Центры Сверхвселенной | (4) Центры Локальных Вселенных | (5) Центры Созвездий | (6) Центры Систем | (7) Неклассифицированные Центры
29:4	(1) Ассоциированные директора по электроснабжению | (2) Механические контроллеры | (3) Трансформаторы энергии | (4) Передатчики энергии | (5) Первичные ассоциаторы | (6) Вторичные диссоциаторы | (7) Франдаланки | Хронольдеки
29:5	Первичные возникшие Главные Организаторы Силы, Ассоциированные Трансцендентальные Главные Организаторы Силы
30:1	I. Существа триединого происхождения | II. Существа двойственного происхождения | III. Существа единого происхождения | IV. Возникшие трансцендентные существа | V. Фрагментированные сущности божества | VI. Сверхличностные существа | VII. Неклассифицированные и нераскрытые категории
30:2	I. Райские Божества | II. Высшие Духи | III. Существа Троичного Происхождения | IV. Сыны Бога | V. Личности Бесконечного Духа | VI. Управители Вселенской Энергии | VII. Корпус Постоянного Гражданства | Составные Группы Личностей
30:3	(1) Звездные ученики | (2) Небесные мастера | (3) Директора реверсии | (4) Инструкторы дополнительных школ | (5) Различные резервные корпуса | (6) Посетители-студенты | (7) Восходящие паломники
30:4	(1) Планетарные смертные | (2) Спящие выжившие | (3) Студенты Обительских Миров | (4) Прогрессоры Моронтии | (5) Подопечные Сверхвселенной | (6) Паломники Хавоны | (7) Прибывшие в Рай
33:6	Время локальной вселенной
34:6	Двойственная природа человека
34:7	«Вот так».
35:4	Воплощения Мелхиседека
35:8	Первичный Ланонандекс|Вторичный Ланонандекс|Третичный Ланонандекс
36:4	Мидсонитеры|Миры финалистов Салвингтона
36:5	(1) Дух интуиции | (2) Дух понимания | (3) Дух мужества | (4) Дух знания | (5) Дух совета | (6) Дух поклонения | (7) Дух мудрости
37:2	Созданные вечерние звезды | Восходящие вечерние звезды | Миры вечерних звезд
37:3	Миры Архангелов
37:5	Расовые комиссары | Корпус Совершенства Небадона | Миры смертных, слившихся с Духом
37:6	Образовательная система Небадона
37:8	Одиночные посланники | Руководитель вселенского цикла (Андовонтия) | Директор переписи (Сальсация) | Заместитель инспектора | Назначенные стражи | Вселенские миротворцы | Технические консультанты | Небесные регистраторы | Моронтийные спутники
37:9	(1) Сусация|(2) Унивитация|(3) Материальные Сыны|(4) Промежуточные Существа|Отступники
37:10	Спиронга|Спорнагии|Колонии, предоставленные пожертвованиями
38:8	(1) Кандидаты на Вознесение | (2) Херувимы средней фазы | (3) Херувимы моронтии
38:9	(1) Первичные промежуточные создания|(2) Вторичные промежуточные создания
39:1	(1) Служители Сынов-Духов | Сопровождающие посвящения | (2) Советники двора | (3) Ориентировщики вселенной | (4) Советники по обучению | (5) Директора по назначениям | (6) Регистраторы | (7) Неприкрепленные служители
39:2	(1) Разведывательный корпус | (2) Голос милосердия | (3) Духовные координаторы | (4) Помощники учителей | (5) Транспортеры | Серафические транспортные техники | (6) Регистраторы | Трансляторы | (7) Резерв
39:3	(1) Руководящие помощники | (2) Прогнозисты в области права | (3) Социальные архитекторы | (4) Специалисты по этике | (5) Транспортеры | (6) Регистраторы | (7) Резервисты
39:4	(1) Административные помощники | (2) Проводники по правосудию | (3) Толкователи космического гражданства | (4) Оживители нравственности | (5) Транспортеры | (6) Регистраторы | (7) Резервисты
39:5	(1) Голоса Сада | (2) Духи Братства | (3) Души Мира | (4) Духи Доверия | (5) Транспортеры | Отправление серафического транспорта | (6) Регистраторы | (7) Резервы
40:5	Смертные временного или эмпирического пребывания Настройщика | Смертные типов, не связанных с слиянием с Настройщиком | Смертные с потенциалом слияния с Настройщиком | Ненумерованная серия
40:9	Методы реконструкции памяти
42:2	(1) Энергия пространства | (2) Изначальная сила | (3) Возникающие энергии | а) Могущественная энергия | б) Энергия гравитации | (4) Энергия вселенной | (5) Энергия Хавоны | (6) Трансцендентная энергия | (7) Монота
42:10	(1) Разумы додуховных адъютантов | (2) Разумы ду́ховных адъютантов | (3) Развивающиеся моронтийные разумы | Космический разум
45:1	(1) Мир Завершителей | (2) Мир Моронтии | (3) Мир Ангелов | (4) Мир Сверхангелов | (5) Мир Сынов | (6) Мир Духа | (7) Мир Отца
45:6	Родительский опыт|Испытательный центр Сатании
46:5	(1) Круги Сынов Божьих | (2) Круги ангелов | (3) Круги Вселенских Помощников | (4) Круги Главных Физических Контролёров | (5) Круги восходящих смертных | (6) Круги любезных колоний | (7) Круги завершителей
47:1	Требуемый родительский опыт
47:3	Моронтийные Спутники
47:8	Слияние регулятора
48:2	(1) Регуляторы цепей | (2) Координаторы систем | (3) Планетарные хранители | (4) Объединенные контроллеры | (5) Стабилизаторы связи | (6) Селективные сортировщики | (7) Ассоциированные регистраторы
48:3	(1) Хранители паломников | (2) Приемники паломников и свободные ассоциаторы | (3) Принимающие гостей с небес | (4) Координаторы и руководители связи | (5) Устные и письменные переводчики | (6) Руководители экскурсий и реверсий | (7) Смотрители территорий и зданий
48:4	Небесный юмор|Смертный юмор
48:6	(1) Серафические Евангелисты |_Оригинал Двадцать третьего Псалма |(2) Расовые Толкователи |(3) Планировщики Разума |(4) Моронтийные Советники |_Стереоскопический эффект моты |(5) Техники |(6) Учителя-регистраторы |_Истина и факт |(7) Резервы служения |_Успех, неудача и эго
49:2	(1) Атмосферные типы | (2) Элементарные типы | (3) Гравитационные типы | (4) Температурные типы | (5) Электрические типы | (6) Энергетические типы | (7) Неназванные типы
49:5	(1) Адаптация к планетарной среде | Экспериментальные серии, проверенные Табамантией | (2) Серия типов мозга | (3) Серия восприятия духов | (4) Планетарно-смертные эпохи | (5) Серии родства существ | (6) Серия слияния с Настройщиком | (7) Методы земного побега
49:6	(1) Диспенсациональный или групповой порядок выживания | (2) Индивидуальные чины вознесения | (3) Чины вознесения, зависящие от испытательного срока | (4) Вторичные модифицированные чины вознесения | (5) Первичный модифицированный чин вознесения
50:7	Agondonters|Tabamantia an agondonter
54:5	Двенадцать причин
55:4	Семь стадий на планете | Освобождение промежуточных созданий | Отбытие Адама
55:12	Неквалифицированные наблюдатели Верховного
57:4	Происхождение Солнца
57:5	Ретроградное движение
57:6	Эпоха формирования планет | Приливное трение | Гравитационно-приливные взрывы
57:7	Вулканический век|Первобытная планетарная атмосфера
57:8	Эпоха землетрясений | Мировой океан и первый континент
59:1	Эпоха трилобитов
59:2	Эпоха беспозвоночных животных
59:3	Коралловый период|Эпоха плеченогих
59:4	Период вегетативной наземной жизни | Эпоха рыб
59:5	Папоротниково-лесной каменноугольный период | Эпоха лягушек
59:6	Период семенных растений | Эпоха биологических потрясений
60:3	Период цветковых растений|Эпоха птиц
61:1	Эпоха ранних млекопитающих
61:2	Эпоха продвинутых млекопитающих
61:3	Век слона и лошади
61:4	Последняя великая миграция млекопитающих
62:3	Происхождение обезьяньих племен
64:6	(1) Красный человек|(2) Оранжевый человек|(3) Желтый человек|(4) Зеленый человек|(5) Синий человек|(6) Раса индиго|_Цель шести рас
65:1	(1) Физический уровень электрохимии | (2) Обычная средняя фаза квазиморонтийного существования | (3) Продвинутый полудуховный уровень
65:7	Механический-необучаемый ум | Немеханический, воспринимающий ум
66:3	(1) Совет по продовольствию и материальному благосостоянию | (2) Совет по одомашниванию и использованию животных | (3) Советники по покорению хищных животных | (4) Факультет по распространению и сохранению знаний | (5) Комиссия по промышленности и торговле | (6) Коллегия богооткровенных религий | (7) Хранители здоровья и жизни | (8) Планетарный совет по искусству и науке | (9) Правители передовых племенных отношений | (10) Верховный суд по племенной координации и расовому сотрудничеству
68:5	(1) Стадия собирательства | (2) Стадия охоты | (3) Стадия скотоводства | (4) Стадия земледелия
68:6	Соотношение между землей и человеком
69:1	(1) Институты самоподдержания | (2) Институты самосохранения | (3) Институты самоудовлетворения
70:2	Современный индустриализм против милитаризма
73:0	осмотр Табамантии
76:3	Сифитское священство
76:5	Сообщение Майкла
78:7	История Ноя
80:2	Наводнение в Средиземном море
81:2	(1) Укрощение огня | (2) Приручение животных | (3) Порабощение пленников | (4) Частная собственность
81:4	(1) Европеоидные расы|(2) Монголоидные расы|(3) Негроидные расы
81:5	Сила и право
81:6	(1) Естественные обстоятельства | (2) Средства производства | (3) Научные знания | (4) Человеческие ресурсы | (5) Эффективность материальных ресурсов | (6) Эффективность языка | (7) Эффективность механических устройств | (8) Характер факелоносцев | (9) Расовые идеалы | (10) Координация специалистов | (11) Устройства для определения местоположения | (12) Готовность к сотрудничеству | (13) Эффективное и мудрое руководство | (14) Социальные изменения | (15) Предотвращение переходного срыва
88:2	Изображения и идолы|«Священные книги»
89:3	Культ воздержания
89:7	Храмовый блуд
91:2	Молитва против магии
92:4	(1) Даламатийские учения | (2) Эдемские учения | (3) Мелхиседек из Салима | (4) Иисус из Назарета | (5) Урантийские документы
92:6	Одиннадцать живых религий
93:4	Символ веры|Семь заповедей
94:1	Ригведа
94:2	Доктрина реинкарнации
94:8	Евангелие Гаутамы|Нравственные заповеди
96:5	Материалистическое Провидение
97:5	Мика и Авдий
97:9	Ефрем и Иуда | Саул и Давид | Соломон и налоги | Израиль и Иуда | Уничтожение Израильского царства | Конец Иудейского царства | Вавилонский плен
98:4	Фригийский культ Кибелы и Аттиса | Египетский культ Осириса и Исиды | Иранский культ Митры
101:3	Двенадцать иллюстраций духовной веры
101:6	Семь аспектов спасения
106:1	Бог Семичастный
106:2	Верховное Существо
106:3	Троица Ultimate
106:4	Высшее Божество
106:5	Абсолютная Троица
106:6	Космос бесконечен
106:8	(1) Уровень трех Троиц | (2) Уровень эмпирического Божества | (3) Уровень Я ЕСМЬ
108:2	На Урантии|В других мирах
108:3	Дань уважения Табамантии
109:6	Настройщик, пребывавший в Иисусе
109:7	Многоличные существа
110:7	Обращение Настройщика к душе
111:7	Заявление хранителя судьбы
112:0	Четырнадцать аспектов личности
114:4	Высочайшие регентства
114:6	(1) Ангелы эпох | (2) Ангелы прогресса | (3) Религиозные хранители | (4) Ангелы национальной жизни | (5) Ангелы рас | (6) Ангелы будущего | (7) Ангелы просвещения | (8) Ангелы здоровья | (9) Домашние серафимы | (10) Ангелы промышленности | (11) Ангелы развлечений | (12) Ангелы сверхчеловеческого служения
116:1	Космический разум
116:5	Проблема равновесия
117:2	Сыновья, тринитизированные существами, и рост
117:4	Космическая мораль – высший долг
117:5	Трансцендирование Финалитера|Последствия человеческого роста
118:1	Эмпирические (субъективные) единицы времени
118:3	Истина и факт | Пространство и узор
118:8	Временной правитель прогресса
121:4	(1) Эпикуреец | (2) Стоик | (3) Циник | (4) Скептик
121:5	Таинственные религии
121:8	(1) Евангелие от Марка | (2) Евангелие от Матфея | (3) Евангелие от Луки | (4) Евангелие от Иоанна | Подтверждение
122:4	«Дом Давида»
122:8	Легенда о пастухах | Три священника из Ура | «Вифлеемская звезда»
122:10	Рейс в Египет
123:0	Пребывание в Египте
123:1	Четвертый год Иисуса
123:2	Воспитание детей
123:4	Материальные аварии
124:1	Картина на полу|Климат в Галилее
124:2	Якоб, сын каменщика
124:3	Эпизод «Скифополис»
124:4	Личная мораль и групповая лояльность
124:6	Мария, Марфа и Лазарь
126:3	Происхождение «Отче наш» | «Сын Человеческий» | Кто такой Мессия?
127:2	Эпизод «Зилот»
127:3	С Иаковом на Пасхе | Визит Елисаветы и Иоанна | Смерть Амоса
127:4	Воспитание детей
127:6	Пасхальный визит в Иерусалим
128:1	Растущее осознание божественности | С Иосифом на Пасхе
128:2	Как кузнец в Сепфорисе
128:3	С Симоном на Пасхе | Иисус встречает Стефана
128:5	Александрийское предложение
128:6	С Иудой на Пасхе|«Дядя Джошуа, расскажи нам историю»
128:7	Женитьба Джеймса|Женитьба Мириам|Джеймс — глава семьи Иосифа
129:1	Зеведей из Капернаума|Иисус-кораблестроитель
129:2	Иисус посещает Иерусалим|Встреча с Гонодом и Ганидом
129:3	Цель поездки в Рим
130:1	Обсуждение добра и зла
130:2	Купец из Монголии | Греческий рабочий и римский мастер | Воля Божья и воля человека
130:8	Эзра, отступивший еврей
132:0	Влияние на тридцать два религиозных лидера
132:4	Римскому сенатору | Римскому солдату | Оратору на форуме | Бедняку, ложно обвинённому
132:7	Бездумный язычник|«Давай мы с тобой создадим новую религию».
133:0	Кастовая система Индии
133:2	Мужчина плохо обращается со своей женой
133:3	Крисп, главный правитель синагоги | Юст, торговец | Две публичные женщины
133:4	Мельнику | Римскому центуриону | Митраистскому вождю | Эпикурейскому учителю | Греческому подрядчику | Римскому судье | Хозяйке греческой гостиницы | Китайскому купцу | Путешественнику из Британии | Беглому юноше | Осужденному преступнику
134:1	Возвращение в Назарет|Женитьба Симона; женитьба Иуды
134:7	Одинокие скитания
134:8	Конец восстания Люцифера | Суверенитет Небадона
134:9	Визит к Иоанну в Иерусалим | Работа в лодочной мастерской Зеведея
135:8	Крещение Иисуса
136:3	Конференция с Гавриилом | Завершение вселенского суверенитета
136:4	Путь Отца
136:5	Персонализированный Настройщик в команде|Нечувствительность Настройщика ко времени
136:6	Путь нормального земного существования
136:7	Послушание естественному закону
136:8	Отказ от компромисса со злом
136:9	Отвержение престола Давида
136:10	«Я буду подчиняться воле моего Отца».
137:1	Эндрю и Питер|Джеймс и Джон
138:3	Не праведники, а грешники
140:3	«Нагорная проповедь»
140:5	Блаженны нищие духом-смиренные | Блаженны алчущие и жаждущие правды... | Блаженны кроткие | Блаженны чистые сердцем | Блаженны плачущие | Блаженны милостивые | Блаженны миротворцы | Блаженны гонимые
140:6	«Я смотрю дальше этого акта...»|О разводе|Справедливость и милосердие|«Им хорошо — не беспокой их».
140:8	(1) Исполнение Воли Отца | (2) Политическая позиция | (3) Социальная позиция | (4) Экономическая позиция | (5) Личная религия
141:3	Личность Иисуса|Внешность Иисуса
141:4	Служитель больных
141:6	Техерма Персидская
141:7	Учение о Царстве | Спасение верой; свобода через истину
142:0	Визит к Аннасу
142:2	Иаков Критский
142:3	Шесть еврейских концепций Бога | Ранние десять заповедей
142:8	Лагерь в Гефсиманском парке
143:1	«Они пренебрежительно отнеслись к нашему посланию». «Вы похожи на слабаков?»
143:3	Три дня на горе Сартаба
143:6	В лагере на горе Гризим
144:5	Семь молитв из иных миров
144:8	«...скажите Джону, что он не забыт».
145:0	Визит к Рут
145:2	Религия – это личный опыт | Молодой эпилептик | Мать жены Петра
146:2	Молитва, благодарение и поклонение | Справедливость и милосердие | Молитва и личные усилия | Этическая молитва
146:3	Религия, наука и философия | Уверенность в истине | Визит в Зебулум
146:4	Работа в шахтах|Исцеление прокаженного
146:5	Тит-дворянин
147:2	Отделение от апостолов Иоанна
147:4	Вопрос Натанаэля о золотом правиле
147:5	Притча о ростовщике|Статус и прогресс
147:6	Шесть разведчиков | «Суббота была создана для человека...»
148:8	Кирмет Багдадский
148:9	Крещение трех шпионов
149:0	Разведывательная организация Дэвида
149:1	Явления исцеления
149:2	Две ошибки раннего христианства | Слава Иисуса как целителя | Его признание равенства женщин | Обаяние его личности
149:4	Комментарии о гневе|О сбалансированных персонажах
150:3	Рассуждение на тему «Магия и суеверия»
151:5	Шторм на озере
152:0	Вероника Кесарийская-Филиппийская
152:6	Подробнее о притче о сеятеле
153:2	«Я есмь хлеб жизни».
153:4	Мальчик, одержимый злым духом | «Как сатана может изгонять сатану?»
153:5	Отказ от нерешительных последователей
154:2	Закрытие синагог
154:4	«Что нам делать с Иисусом?»
155:3	Истина и вероучение|Происхождение религиозных традиций
156:2	«Этот мир — всего лишь мост…»
156:5	Притча о глупом плотнике | Искушение и человеческая природа | Основы материального успеха | Духовная жизнь и самоуважение | Идеалы и идеи | Такт, обаяние и мудрость
156:6	Отношение еврейских лидеров
157:0	Иисус пытается увидеть свою семью
157:1	«Рыба с шекелем во рту».
157:3	«За кого меня принимают мужчины?»
157:6	Четыре этапа жизни Иисуса|Новые авторитетные заявления
158:4	Джеймс из Цфата
158:5	«Господи, я верю, помоги моему неверию».
159:1	«Сколько раз будет грешить против меня брат мой?» | Притча о расплате с управителями | Опасности личного суждения
159:4	«В чем заключается истина Писания?»
159:5	«...пронести рюкзак ещё милю».
160:1	Три движущих силы жизни | Решение проблем и благоговейная медитация | Предубеждения и осознание истины
160:2	Социальная ценность дружбы|Великая ценность брака
160:4	Основы мирской жизни | Факторы материального успеха | Значение неудачи
160:5	Что такое религия?|Идея Бога и идеал Бога|Отец — высшая ценность|«Но готовы ли мы заплатить цену…?»
161:1	Пять пунктов Натаниэля
161:2	Беседа Натанаэля и Томаса
161:3	Взгляды промежуточных созданий
162:0	«Учитель... повелел огню сойти с неба...»
162:2	Эвер, служитель Синедриона
163:1	Жатвы много, а делателей мало
163:2	Богатство и любовь к богатству
163:3	Притча о работниках в винограднике
163:4	Наставления Иисуса | Проповедь Петра при рукоположении
165:3	«Берегитесь закваски фарисейской...»|«...у вас и волосы на голове сочтены»
165:4	Притча о глупом богаче|«Где сокровище ваше, там будет и сердце ваше».|«Какая польза, если ты приобретешь весь мир…?»
165:5	«Посмотрите на лилии, как они растут...»
166:1	Церемониальное омовение рук
166:3	Прямой и узкий путь | Многие первые будут последними | «Стою у двери и стучу»
166:4	Последующее служение и смерть Авенира
167:1	Исцеление верующего|«...не сиди на первом месте...»
167:5	Фарисей и мытарь|Учение о браке
167:6	Красота как фактор поклонения
168:0	«Я есмь воскресение и жизнь…»
168:3	«Лучше, чтобы умер один человек...»
169:0	Обвинения Синедриона против Иисуса
169:4	Иисус жил откровением Бога | Элохима и Яхве
170:2	Грех и прощение
170:5	Социальное братство и духовное братство | Другой и более великий Иоанн Креститель | Христианство и Евангелие Иисуса
171:0	«... обещай мне, что этим моим сыновьям будет оказана честь...»
171:1	Поздняя жизнь Давида Зеведея | Антиохия и Филадельфия
171:3	Прощание с Авениром
171:4	Петр и Симон и 100 мечей | Предупреждение дружелюбных фарисеев
171:8	Толкование притчи Нафанаилом
172:1	Мария помазывает ноги Иисуса | Иисус упрекает Иуду
172:4	Лепта вдовы
173:2	«Крещение Иоанново, откуда оно было?»
173:4	Камень, который отвергли строители
173:5	«Разрушьте храм сей, и... Я воздвигну его».
174:0	Индивидуальные приветствия двенадцати
174:2	Законно ли давать подать кесарю?
174:4	Избавитель, чей он сын?
174:5	«... если пшеничное зерно, пав в землю, не умрет...»|«... если Я вознесен буду... в жизни вашей...»
175:1	«Из поколения в поколение Мы посылали пророков Наших...»|«... тот, кто хочет быть большим между вами...»|«Горе вам, книжники и фарисеи, лицемеры!»|«... вы... очищаете внешность чаши...»|«А теперь Я прощаюсь с вами».
175:4	Окончательное решение Иуды
176:2	Рассказ в Евангелии от Матфея
176:3	Притча о талантах | «Продолжайте, пока не приду». | Комментарии о росте живой истины
177:1	Джон Марк и корзина с обедом
177:5	Остерегайтесь поддержки толпы
178:1	Учитесь быть верным даже в благополучии | Не искушайте ангелов вашего надзора
178:2	Давид освобождает Иуду от «сумки» | Подготовка к Тайной Вечере
180:1	«... любите друг друга, как Я возлюбил вас».
180:3	«Да не смущается сердце ваше». «Учитель, покажи нам Отца...»
180:5	Комментарии к золотому правилу
181:1	«Я даю каждому из вас все, что вы получите». «Да не смущается сердце ваше».
182:1	Расширение Иисусом откровения имени Бога
182:2	Отправка гонца к Авениру | Прощание Давида Зеведея
182:3	Дух бодр, плоть же немощна
184:4	Новое откровение человека Богу
185:2	Письменные обвинения синедрионского трибунала
185:6	Бичевание Иисуса|«Се, Человек!»
186:0	Семья Иисуса в Вифании
186:1	Тридцать сребреников
186:2	«Пилат на суде перед Иисусом». «Вот Бог и человек!»
187:1	«Дочери Иерусалимские, не плачьте обо мне...»|Симон из Киринеянина
187:4	Наставление Иисуса Иоанну
188:0	Иосиф и Никодим перед Пилатом
188:3	Что Иисус предал в руки Отца?|Статус личности Иисуса
189:3	Отъезд персонализированного регулировщика
189:4	Пять женщин | Иисус является Марии Магдалине
189:5	Второе явление — Марии Магдалине
190:2	Явление своему брату Иакову|Явление своей земной семье
191:0	Реакции отдельных апостолов
191:3	Стадии развития моронтии
191:5	«Блаженны те, кто в грядущих веках...»
192:1	«Ребята, вы что-нибудь поймали?»
193:0	Шестнадцатое явление (двор Никодима)
194:0	Новое Евангелие об Иисусе
194:2	Миссия Духа Истины | Тройственное духовное дарование человека | Семь высших духовных влияний
195:0	Причины триумфа христианства на Западе | Ранние христианские компромиссы
196:0	Живая вера Иисуса в Бога | «Ищите прежде Царства Небесного». | «Почему вы называете меня благим?» | Что значила молитва для Иисуса | Детская вера Иисуса в Бога
196:2	Религия об Иисусе | Религия как личный опыт
196:3	Факт, идея и отношение | Разум, мудрость и вера | Вещь, смысл и ценность | Если бы в человеке не жил божественный любящий... | Мораль и религия | Отец есть живая любовь